"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","all_county_weights","imprecise","military","timezone","age_median","male","female","married","family_size","income_household_median","income_household_six_figure","home_ownership","home_value","rent_median","education_college_or_above","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple"
"951","18.4284","-66.2566","Toa Baja","PR","Puerto Rico","TRUE","","35","32.5","72137","Toa Baja","{'72137':100}","FALSE","FALSE","America/Puerto_Rico","","100","0","0","","","0","100","","","0","100","0","0","100","0","0","0","0","0"
"96863","21.4484","-157.7623","Mcbh Kaneohe Bay","HI","Hawaii","TRUE","","52","708.1","15003","Honolulu","{'15003':100}","FALSE","FALSE","Pacific/Honolulu","23.8","100","0","0","","","","","","","0","100","","82.6","0","0","0","0","17.4","0"
"34141","25.9723","-81.0936","Ochopee","FL","Florida","TRUE","","232","0.1","12021","Collier","{'12021':97.41,'12087':2.59}","FALSE","FALSE","America/New_York","43","100","0","0","","","","","","","0","55.8","100","69.6","19.6","0","0","0","5.4","5.4"
"78060","28.4469","-98.1071","Oakville","TX","Texas","TRUE","","37","36.3","48297","Live Oak","{'48297':100}","FALSE","FALSE","America/Chicago","","100","0","0","1.88","","0","100","","","46.7","100","0","100","0","0","0","0","0","0"
"78144","28.9551","-97.888","Panna Maria","TX","Texas","TRUE","","45","7.7","48255","Karnes","{'48255':100}","FALSE","FALSE","America/Chicago","65.1","100","0","0","","19766","0","69","","","31","44.8","0","100","0","0","0","0","0","0"
"78150","29.5308","-98.279","Jbsa Randolph","TX","Texas","TRUE","","11","26.8","48029","Bexar","{'48029':100}","FALSE","FALSE","America/Chicago","","100","0","0","","","","","","","","100","0","100","0","0","0","0","0","0"
"32026","30.0541","-82.1815","Raiford","FL","Florida","TRUE","","1959","1162.7","12007","Bradford","{'12007':100}","FALSE","FALSE","America/New_York","34.8","100","0","7.7","","","","","","","2.9","0","","42.7","54.1","0.9","0.2","0.5","0.9","0.8"
"70801","30.4497","-91.1859","Baton Rouge","LA","Louisiana","TRUE","","13","38.7","22033","East Baton Rouge","{'22033':100}","FALSE","FALSE","America/Chicago","","100","0","0","","","37.5","0","","","100","100","0","100","0","0","0","0","0","0"
"76874","30.4587","-100.0691","Roosevelt","TX","Texas","TRUE","","68","0.4","48267","Kimble","{'48267':100}","FALSE","FALSE","America/Chicago","34","100","0","0","1.45","","0","61.4","","","22.2","100","0","100","0","0","0","0","0","0"
"32509","30.4708","-87.341","Pensacola","FL","Florida","TRUE","","660","199.4","12033","Escambia","{'12033':100}","FALSE","FALSE","America/Chicago","43.6","100","0","26.4","","","","","","","21.8","0","","49.7","37.4","0","0","0","2.2","10.7"